Age,Workclass,Fnlwgt,EducationNum,MaritalStatus,Occupation,Relationship,Race,Sex,Capital_gain,Capital_loss,HoursPerWeek,NativeCountry
20,Private,109952,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,25,United-States
47,Private,166181,10,Married-civ-spouse,Adm-clerical,Wife,Black,0,0,0,48,United-States
35,Local-gov,300681,9,Married-civ-spouse,Protective-serv,Husband,Black,1,7298,0,35,United-States
27,Private,37088,12,Never-married,Other-service,Not-in-family,White,1,0,0,40,United-States
36,Private,184655,6,Divorced,Transport-moving,Unmarried,White,1,0,0,48,United-States
54,Self-emp-not-inc,114520,10,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States
51,Private,263836,9,Widowed,Handlers-cleaners,Not-in-family,White,1,0,0,30,United-States
47,Self-emp-not-inc,191175,3,Married-civ-spouse,Sales,Husband,White,1,0,2179,50,Mexico
40,Private,196029,9,Divorced,Transport-moving,Unmarried,White,1,0,0,45,United-States
59,Private,366618,5,Married-civ-spouse,Other-service,Husband,White,1,0,0,30,United-States
40,Self-emp-inc,207578,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,50,United-States
40,Private,326232,10,Divorced,Transport-moving,Unmarried,White,1,0,0,40,United-States
38,Local-gov,421446,13,Married-civ-spouse,Exec-managerial,Husband,Black,1,0,0,50,United-States
29,Private,133937,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States
34,Private,366898,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,Germany
19,Private,129151,9,Never-married,Craft-repair,Not-in-family,White,0,0,0,40,United-States
44,Federal-gov,404599,9,Divorced,Adm-clerical,Unmarried,Black,0,0,0,40,United-States
42,Private,115511,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,United-States
41,Private,421871,9,Married-civ-spouse,Craft-repair,Husband,Black,1,0,0,40,United-States
49,Private,23776,10,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States
23,Private,50953,10,Never-married,Tech-support,Not-in-family,White,0,0,0,40,United-States
32,Private,248754,10,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,United-States
51,,130667,9,Separated,,Not-in-family,Black,1,0,0,6,United-States
28,Local-gov,207213,12,Never-married,Craft-repair,Own-child,White,1,0,0,5,United-States
17,Private,242773,7,Never-married,Other-service,Own-child,White,0,0,0,20,United-States
50,Private,150999,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,1977,40,United-States
47,Self-emp-inc,205100,9,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,38,Germany
33,Private,173858,13,Married-civ-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,1,0,0,40,India
52,Private,117295,2,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States
42,Private,39324,9,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States
26,Local-gov,190350,13,Never-married,Prof-specialty,Own-child,Black,0,0,0,35,United-States
40,Private,164678,12,Divorced,Prof-specialty,Unmarried,White,0,0,0,32,United-States
43,Private,55294,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
35,Private,150217,13,Married-civ-spouse,Other-service,Wife,White,0,0,0,24,Poland
47,Private,365516,14,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,United-States
28,Private,182344,9,Never-married,Other-service,Not-in-family,Black,1,0,0,40,United-States
56,Private,146326,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,50,United-States
58,Private,248739,9,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,53,United-States
24,Private,255474,7,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States
30,Private,164190,13,Never-married,Exec-managerial,Not-in-family,White,1,0,0,42,United-States
61,Private,86067,12,Married-civ-spouse,Sales,Husband,White,1,15024,0,40,United-States
64,Local-gov,78866,9,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,United-States
51,Private,257485,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
75,State-gov,113868,16,Married-civ-spouse,Prof-specialty,Husband,Black,1,0,0,20,United-States
31,Private,184307,10,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,Jamaica
52,Private,226084,9,Widowed,Priv-house-serv,Other-relative,White,0,0,0,40,United-States
32,Private,48520,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States
55,Self-emp-not-inc,111625,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,60,United-States
52,Local-gov,100226,13,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,40,United-States
50,Self-emp-not-inc,324506,9,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,0,0,0,48,South
22,Private,74631,10,Never-married,Handlers-cleaners,Own-child,White,0,0,0,13,United-States
58,Self-emp-not-inc,450544,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
67,Private,279980,10,Married-civ-spouse,Transport-moving,Husband,White,1,10605,0,10,United-States
26,Private,106548,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,United-States
40,Self-emp-not-inc,162312,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,1,0,0,66,South
40,Private,247880,13,Married-civ-spouse,Tech-support,Husband,White,1,0,0,40,United-States
28,Private,214858,9,Married-civ-spouse,Transport-moving,Husband,White,1,0,0,40,United-States
22,Private,206974,13,Never-married,Sales,Not-in-family,White,0,0,0,40,United-States
35,Private,208378,8,Separated,Machine-op-inspct,Unmarried,White,0,0,0,40,United-States
51,Private,137253,9,Divorced,Prof-specialty,Unmarried,White,0,0,0,40,United-States
31,Self-emp-inc,49923,9,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
26,State-gov,208122,13,Never-married,Prof-specialty,Not-in-family,White,1,0,0,15,United-States
39,State-gov,318918,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
35,Private,77146,13,Married-civ-spouse,Sales,Husband,White,1,0,0,45,United-States
48,Private,76017,9,Widowed,Other-service,Unmarried,White,0,0,0,25,United-States
46,Private,148738,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,1740,35,United-States
40,Self-emp-not-inc,237293,15,Married-civ-spouse,Prof-specialty,Wife,White,0,15024,0,40,United-States
20,Private,169600,10,Never-married,Prof-specialty,Own-child,White,0,2176,0,12,United-States
31,Private,59083,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States
37,Private,189251,16,Separated,Prof-specialty,Unmarried,White,0,0,0,40,United-States
20,Private,270436,9,Never-married,Machine-op-inspct,Own-child,White,1,0,0,40,United-States
57,Private,73051,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States
56,Private,157639,10,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,50,United-States
23,Private,117618,10,Never-married,Handlers-cleaners,Own-child,White,1,0,0,35,United-States
35,Private,224566,10,Never-married,Exec-managerial,Not-in-family,White,1,0,0,60,United-States
