2023-08-16/15:34:49		Data loaded from CSV file: artifacts/data/raw.csv
2023-08-16/15:34:50		Data saved to CSV file: artifacts/data/CleanData.csv
2023-08-16/15:34:50		Data saved to CSV file: artifacts/data/FinalFeatureData.csv
2023-08-16/15:34:51		Data saved to CSV file: artifacts/data/FinalTargetData.csv
2023-08-16/15:34:51		Data saved to CSV file: artifacts/data/X_train.csv
2023-08-16/15:34:51		Data saved to CSV file: artifacts/data/X_test.csv
2023-08-16/15:34:51		Data saved to CSV file: artifacts/data/y_train.csv
2023-08-16/15:34:51		Data saved to CSV file: artifacts/data/y_test.csv
2023-08-16/15:34:51		Get a list of all files in the directory
2023-08-16/15:34:51		Iterate over each file and delete it
2023-08-16/15:34:51		Deleted artifacts/preprocessor\Preprocessor.pkl
2023-08-16/15:34:51		Model saved to file: artifacts/preprocessor/Preprocessor.pkl
