iter	Accuracy	MultiClass
0	0.8381119649	0.6413466351
1	0.8430735456	0.597984541
2	0.8421075741	0.5621857923
3	0.8473765093	0.5311546496
4	0.8464105379	0.5053901625
5	0.848079034	0.4826206046
6	0.8481668496	0.4631895417
7	0.8484742042	0.4464735651
8	0.8487815587	0.4313588234
9	0.8490010977	0.4182873766
10	0.8487815587	0.4067830683
11	0.8498353458	0.3958991298
12	0.849791438	0.3866399504
13	0.8499670692	0.3783696363
14	0.8509330406	0.3710042362
15	0.8514160263	0.3648218579
16	0.8518551043	0.3599399206
17	0.8529527991	0.3556241023
18	0.8526454446	0.3512583566
19	0.852557629	0.3478183772
20	0.8523819978	0.3442490253
21	0.8534357849	0.3401533273
22	0.8531723381	0.3370232813
23	0.8539626784	0.3340579875
24	0.854050494	0.3314916966
25	0.8546652031	0.3288714857
26	0.8536553238	0.3268564745
27	0.8541822173	0.3249445716
28	0.8539187706	0.3228750867
29	0.8545334797	0.3212743497
30	0.8549286498	0.3198468998
31	0.85532382	0.3184801984
32	0.8554555434	0.3171194945
33	0.8563336992	0.3157553674
34	0.856377607	0.314901557
35	0.8564215148	0.3138373806
36	0.8569923161	0.3127280312
37	0.8572557629	0.3117916549
38	0.8569045005	0.3109164587
39	0.8573435785	0.3100637982
40	0.8577387486	0.309447839
41	0.8576948408	0.3087768208
42	0.8582217344	0.3080635396
43	0.858090011	0.3074541785
44	0.8582656422	0.3065613768
45	0.8580021954	0.3059028488
46	0.8581778266	0.3052721886
47	0.8585290889	0.30457195
48	0.8587047201	0.3040120311
49	0.859143798	0.3033295875
50	0.859582876	0.3026651754
51	0.8598902305	0.3021336781
52	0.8598463227	0.3016690317
53	0.8600219539	0.3011100983
54	0.8605488474	0.3006299454
55	0.8609001098	0.3001353985
56	0.8612074643	0.2997875569
57	0.8614270033	0.2991210523
58	0.8614709111	0.2987712011
59	0.8615148189	0.2984444183
60	0.8618221734	0.2980601974
61	0.8616904501	0.2975847631
62	0.8619538968	0.297251187
63	0.8618660812	0.297002258
64	0.8622173436	0.2966606771
65	0.8621734358	0.2964542881
66	0.8624368825	0.2958684485
67	0.8627881449	0.2955282531
68	0.8630515917	0.2949709992
69	0.8637980241	0.2944573307
70	0.8639297475	0.2941974011
71	0.8640175631	0.2939381756
72	0.8640175631	0.2936211621
73	0.8642810099	0.2934135813
74	0.8646322722	0.2930812012
75	0.8648079034	0.292639994
76	0.8648079034	0.2923988037
77	0.8647639956	0.2919613648
78	0.8648079034	0.291648101
79	0.8654226125	0.2912713233
80	0.8655104281	0.2910029056
81	0.8654665203	0.2907919198
82	0.865949506	0.2904996848
83	0.8662568606	0.2901658259
84	0.8661251372	0.2898282992
85	0.8659055982	0.2895633809
86	0.866169045	0.289381198
87	0.8664324918	0.2887789173
88	0.8662568606	0.288476045
89	0.8666959385	0.2882609792
90	0.8666520307	0.2880938084
91	0.8666520307	0.2879696005
92	0.8670032931	0.287725195
93	0.8672228321	0.2871939197
94	0.8673545554	0.2870542679
95	0.8671789243	0.2868273704
96	0.8677058178	0.2866162221
97	0.8676180022	0.2863343191
98	0.8675740944	0.2861747641
99	0.8678375412	0.2860355671
100	0.8677058178	0.2858841974
101	0.8679253568	0.2855568877
102	0.8681009879	0.2853563478
103	0.8682766191	0.2847450844
104	0.8685400659	0.2845009482
105	0.8686717892	0.2842042499
106	0.8686717892	0.284071099
107	0.8691986828	0.2838074073
108	0.8693743139	0.2836216955
109	0.8693743139	0.2834958141
110	0.8698133919	0.2830167685
111	0.8699012075	0.2826428211
112	0.8699451153	0.282373935
113	0.8700768386	0.2822034961
114	0.8706915477	0.2819502236
115	0.8707793633	0.2816766942
116	0.8708671789	0.2814973115
117	0.8709549945	0.2813311524
118	0.8711306257	0.2809614394
119	0.871481888	0.2808333156
120	0.8717453348	0.2804347435
121	0.8717892426	0.2802349962
122	0.871920966	0.2800923859
123	0.8721405049	0.2798353943
124	0.8723161361	0.2796572592
125	0.8723161361	0.2795482577
126	0.8722283205	0.279397378
127	0.8723600439	0.2792448004
128	0.8726234907	0.2790080397
129	0.8724917673	0.2789287366
130	0.8728869374	0.278734384
131	0.8731064764	0.2784511342
132	0.8731064764	0.2783585064
133	0.8732821076	0.2781387666
134	0.8735455543	0.2780074409
135	0.8736333699	0.2776770303
136	0.8743358946	0.2774599953
137	0.8746432492	0.2770309622
138	0.874687157	0.2769388709
139	0.8747310648	0.2766343988
140	0.8748188804	0.2765380806
141	0.8747310648	0.2764416502
142	0.8749945115	0.276342062
143	0.8750823271	0.2762579453
144	0.8752579583	0.2761249593
145	0.8754335895	0.2759834774
146	0.8757848518	0.2758179626
147	0.8757848518	0.2753955083
148	0.8760922064	0.2752646167
149	0.8760922064	0.2751179227
150	0.8761361142	0.2750148559
151	0.8762678375	0.274842661
152	0.8765312843	0.2746669361
153	0.8767508233	0.2745861233
154	0.8768825467	0.2744913551
155	0.8768825467	0.274323188
156	0.8769264544	0.2741528624
157	0.8768825467	0.2740574894
158	0.8767947311	0.2738914603
159	0.8770581778	0.2736679386
160	0.8773216246	0.2735144886
161	0.8771020856	0.2734131625
162	0.8771899012	0.2733301966
163	0.8771459934	0.2732251773
164	0.8773216246	0.2730871708
165	0.877453348	0.2729245635
166	0.8774094402	0.2728290775
167	0.8775850714	0.2726856576
168	0.8778046103	0.2725651043
169	0.8778485181	0.2724085051
170	0.8778485181	0.2722747726
171	0.8778046103	0.2721765003
172	0.8778485181	0.2720811708
173	0.8780680571	0.2719871882
174	0.8783315038	0.2718363799
175	0.8781997805	0.2716912823
176	0.878507135	0.2716329711
177	0.8786388584	0.2715193868
178	0.8786388584	0.2714157923
179	0.8786388584	0.2713531028
180	0.8786388584	0.2712914972
181	0.8786388584	0.2711301414
182	0.878946213	0.2707579556
183	0.8790340285	0.2706289059
184	0.8792535675	0.2705196085
185	0.8795170143	0.2702708923
186	0.8795609221	0.2701606447
187	0.8795609221	0.2700945541
188	0.8794731065	0.2700021539
189	0.8794731065	0.2698598217
190	0.8794731065	0.2697438269
191	0.8796487377	0.2696341646
192	0.8794731065	0.2695889827
193	0.8796487377	0.2695131033
194	0.8797365532	0.2694161112
195	0.8799121844	0.2693036797
196	0.879780461	0.2692224006
197	0.8799560922	0.2689905042
198	0.8801317234	0.268837846
199	0.8800878156	0.2687340926
200	0.8798682766	0.2685904497
201	0.88	0.2685343818
202	0.8801317234	0.2684538621
203	0.8801756312	0.2683956494
204	0.8802634468	0.2683246123
205	0.8801317234	0.2682387167
206	0.8803951701	0.2681692188
207	0.8804390779	0.2680769523
208	0.8807025247	0.2679733825
209	0.8807903403	0.2679141517
210	0.8807903403	0.2678035878
211	0.8807025247	0.2677147633
212	0.8807903403	0.2675871551
213	0.8808342481	0.267487234
214	0.8804829857	0.2673518049
215	0.8807464325	0.2672638573
216	0.8807903403	0.2671605328
217	0.8808781559	0.2670148954
218	0.8809220637	0.2669463809
219	0.8808342481	0.2668572004
220	0.881053787	0.266799649
221	0.8811416026	0.2666913518
222	0.8811416026	0.2666507791
223	0.881273326	0.2665416197
224	0.8814489572	0.2664747381
225	0.8814050494	0.2664220201
226	0.881492865	0.2663627291
227	0.8815367728	0.2663179351
228	0.8815367728	0.2662018238
229	0.8818441273	0.2661253855
230	0.8819319429	0.2659957453
