iter	Passed	Remaining
0	166	166745
1	183	91739
2	200	66525
3	215	53614
4	230	45792
5	241	40001
6	253	36015
7	265	32941
8	281	30974
9	295	29300
10	311	28030
11	324	26709
12	336	25537
13	349	24581
14	362	23792
15	377	23238
16	395	22887
17	410	22375
18	424	21897
19	438	21480
20	453	21136
21	470	20896
22	484	20571
23	498	20286
24	513	20038
25	528	19814
26	543	19589
27	556	19315
28	569	19057
29	582	18826
30	596	18636
31	609	18423
32	622	18244
33	635	18056
34	648	17889
35	662	17729
36	675	17575
37	688	17426
38	701	17296
39	715	17173
40	728	17040
41	741	16921
42	755	16803
43	767	16680
44	780	16565
45	793	16457
46	807	16371
47	821	16285
48	835	16206
49	848	16130
50	863	16074
51	877	15989
52	889	15900
53	902	15815
54	916	15745
55	930	15683
56	943	15608
57	956	15534
58	969	15459
59	981	15383
60	996	15331
61	1010	15284
62	1023	15227
63	1037	15167
64	1050	15104
65	1062	15039
66	1075	14979
67	1088	14913
68	1101	14858
69	1113	14797
70	1127	14747
71	1140	14699
72	1153	14650
73	1167	14606
74	1179	14553
75	1192	14498
76	1205	14450
77	1220	14421
78	1233	14379
79	1247	14351
80	1261	14307
81	1273	14258
82	1286	14218
83	1299	14174
84	1313	14136
85	1326	14096
86	1339	14057
87	1352	14017
88	1365	13975
89	1377	13932
90	1390	13888
91	1403	13848
92	1417	13821
93	1430	13788
94	1443	13753
95	1456	13711
96	1469	13675
97	1482	13647
98	1496	13616
99	1509	13581
100	1522	13547
101	1534	13512
102	1547	13476
103	1560	13441
104	1572	13402
105	1584	13367
106	1597	13332
107	1610	13298
108	1623	13274
109	1638	13253
110	1652	13236
111	1665	13206
112	1678	13175
113	1691	13146
114	1704	13116
115	1717	13092
116	1730	13063
117	1743	13032
118	1756	13003
119	1769	12974
120	1782	12947
121	1796	12925
122	1808	12897
123	1822	12872
124	1836	12854
125	1849	12831
126	1863	12806
127	1876	12780
128	1889	12756
129	1902	12731
130	1915	12709
131	1928	12684
132	1941	12657
133	1954	12630
134	1967	12605
135	1980	12579
136	1993	12555
137	2006	12531
138	2018	12504
139	2031	12481
140	2047	12473
141	2060	12451
142	2073	12428
143	2087	12407
144	2101	12388
145	2114	12371
146	2127	12346
147	2140	12321
148	2153	12297
149	2165	12273
150	2178	12247
151	2191	12223
152	2203	12200
153	2216	12175
154	2228	12150
155	2242	12130
156	2255	12110
157	2268	12091
158	2281	12069
159	2295	12048
160	2307	12025
161	2320	12004
162	2333	11980
163	2346	11960
164	2358	11936
165	2371	11913
166	2384	11892
167	2397	11871
168	2410	11851
169	2423	11832
170	2436	11810
171	2449	11790
172	2463	11776
173	2477	11759
174	2490	11740
175	2503	11721
176	2516	11702
177	2532	11693
178	2545	11674
179	2558	11655
180	2571	11636
181	2585	11620
182	2599	11603
183	2612	11583
184	2624	11563
185	2637	11542
186	2650	11524
187	2664	11510
188	2678	11491
189	2690	11471
190	2704	11453
191	2716	11433
192	2731	11420
193	2742	11396
194	2755	11376
195	2768	11357
196	2782	11341
197	2795	11322
198	2808	11305
199	2821	11287
200	2834	11267
201	2847	11247
202	2861	11233
203	2874	11215
204	2887	11196
205	2900	11179
206	2913	11160
207	2925	11140
208	2938	11121
209	2952	11106
210	2965	11090
211	2978	11071
212	2991	11053
213	3004	11033
214	3017	11016
215	3029	10997
216	3042	10979
217	3055	10959
218	3068	10941
219	3082	10930
220	3095	10912
221	3109	10897
222	3122	10879
223	3135	10861
224	3147	10842
225	3159	10820
226	3172	10802
227	3184	10783
228	3197	10764
229	3209	10745
230	3223	10730
231	3235	10710
232	3248	10692
233	3260	10674
234	3274	10658
235	3288	10646
236	3302	10630
237	3314	10611
238	3326	10591
239	3339	10574
240	3351	10555
241	3364	10537
242	3377	10522
243	3391	10507
244	3403	10487
245	3415	10468
246	3427	10447
247	3439	10428
248	3451	10409
249	3462	10388
250	3475	10369
251	3488	10354
252	3502	10340
253	3515	10324
254	3527	10307
255	3540	10289
256	3552	10271
257	3567	10259
258	3579	10242
259	3592	10224
260	3605	10208
261	3618	10193
262	3631	10175
263	3643	10158
264	3656	10140
265	3668	10123
266	3680	10105
267	3693	10088
268	3707	10074
269	3720	10058
270	3732	10040
271	3745	10025
272	3758	10008
273	3771	9993
274	3784	9976
275	3797	9960
276	3809	9943
277	3822	9926
278	3835	9910
279	3847	9893
280	3860	9876
281	3872	9860
282	3885	9843
283	3899	9830
284	3913	9819
285	3927	9805
286	3942	9793
287	3954	9777
288	3967	9761
289	3979	9743
290	3991	9725
291	4004	9709
292	4016	9692
293	4029	9675
294	4041	9659
295	4054	9643
296	4066	9626
297	4079	9609
298	4091	9591
299	4104	9577
300	4118	9563
301	4131	9549
302	4144	9533
303	4156	9517
304	4169	9500
305	4182	9484
306	4194	9467
307	4207	9452
308	4220	9437
309	4233	9423
310	4246	9408
311	4259	9392
312	4272	9377
313	4284	9360
314	4296	9343
315	4311	9331
316	4324	9316
317	4337	9302
318	4349	9285
319	4361	9269
320	4374	9253
321	4386	9236
322	4398	9220
323	4411	9203
324	4422	9184
325	4434	9168
326	4446	9151
327	4459	9136
328	4471	9119
329	4484	9105
330	4497	9089
331	4509	9072
332	4521	9057
333	4535	9043
334	4548	9028
335	4561	9014
336	4574	8999
337	4586	8983
338	4599	8968
339	4612	8953
340	4625	8938
341	4636	8921
