,income
9440,0
18870,1
11404,0
1849,1
19386,1
25256,1
27341,1
25423,1
17345,0
12212,1
22806,1
28591,1
78,0
2420,1
28584,0
22794,0
15876,0
23213,0
11456,0
29038,0
11103,0
19797,0
12582,0
13760,0
10156,1
17202,1
7136,1
10030,1
27561,0
7364,0
31558,1
9222,0
31065,0
18512,1
21275,0
23547,1
2633,1
15619,0
11705,0
16751,1
7543,0
24052,1
26677,0
9469,0
27634,1
24649,0
30046,1
1437,1
25163,1
9027,1
23883,0
5057,1
8083,0
5566,1
22852,1
21102,0
11243,1
14188,0
16782,1
20766,0
1405,1
8986,1
24008,1
6113,1
11603,1
1981,1
11575,1
27340,0
972,1
18169,0
6076,0
23235,0
1036,0
20378,1
16276,1
10941,0
1474,0
9097,0
15867,1
3497,1
12695,0
19154,0
27895,0
18817,1
25332,0
20234,1
4748,0
18676,1
19492,1
23085,0
4058,1
21059,1
23130,0
19889,1
27955,1
25047,0
25665,1
7529,1
19804,1
19508,0
7567,0
9092,0
20283,1
4513,0
11613,1
22646,0
18605,0
27523,0
8122,1
16805,1
12220,1
15943,0
30448,1
14436,0
24763,1
4719,0
23957,0
12542,1
7172,0
30376,1
1782,0
9662,0
31445,0
29673,0
22559,1
6848,1
9335,0
11054,0
31506,0
4680,1
32243,1
4797,1
18320,0
8359,1
29245,1
11721,1
14680,0
23922,0
8935,0
7718,0
5786,0
28475,0
7877,1
23713,0
15979,1
5432,0
26451,1
20145,0
12778,0
28354,0
1862,1
31268,0
6188,0
2828,1
24170,0
3306,0
19305,1
14517,0
27242,0
26607,1
28769,1
14889,1
20164,0
32139,0
22929,0
28411,0
10564,1
12927,1
21563,0
21252,1
16812,1
1094,0
7804,1
26061,0
4709,1
26586,1
13654,0
968,1
17495,1
27930,0
25424,1
16423,0
3143,1
14518,1
28155,1
8775,0
11786,0
29446,1
19124,1
6389,1
30591,0
26889,1
24108,1
10713,1
17494,1
21425,1
6119,1
31071,1
28066,0
9857,0
27761,0
21307,1
4012,0
4539,1
22678,0
20027,0
9497,1
15877,0
31104,1
14402,0
26060,1
20505,0
31516,0
24155,1
4765,1
10643,0
14058,0
14078,1
17295,0
28731,0
20117,1
9559,0
11551,1
18125,1
14958,0
26348,1
31679,0
23512,1
5708,1
11055,0
14800,0
15654,1
20091,0
2862,0
26994,0
10111,1
30042,1
7330,0
19453,0
23535,1
28541,0
24436,0
20357,1
3756,0
15104,0
7783,1
30080,0
9318,1
1562,1
29247,1
29467,0
24222,0
25787,1
2034,0
20593,1
7487,0
4663,0
3902,0
17708,1
16893,0
25004,1
12897,0
27764,1
16289,1
6617,0
19096,1
25659,1
22716,0
20030,1
14579,1
28331,1
11340,1
1207,1
22500,1
32328,0
3576,0
832,0
7325,1
24274,1
17220,1
13915,0
29557,1
8167,0
31789,0
6723,0
22144,1
24381,0
14017,1
25465,0
23632,0
6302,1
10171,0
29311,0
22056,0
25345,1
25560,1
2588,1
28620,0
11361,0
26666,1
6453,1
31390,1
10402,0
3059,0
5547,0
17404,0
28273,0
28246,1
24830,0
1223,0
11874,1
11729,0
1118,1
13589,1
2797,0
5219,0
20500,0
31720,1
1335,0
5090,0
20111,1
23288,1
1858,0
1921,1
10525,1
19643,0
2062,0
13891,1
11037,1
415,1
10975,1
32365,0
5819,1
22429,1
19489,0
3614,0
17846,0
21164,0
6958,1
7332,0
15923,0
21235,1
24161,0
26364,0
31851,0
32249,1
358,0
14702,0
666,0
30819,1
17664,1
7608,0
17683,0
6377,1
13191,0
28035,0
5751,0
22974,0
10509,1
25105,1
32175,1
8703,0
31849,0
15950,1
2519,0
14786,1
15520,0
19785,1
22076,0
15227,0
18529,1
28258,0
20458,1
21296,0
2216,0
10077,0
7809,1
13995,1
16572,0
30536,0
17756,0
31411,0
4130,0
11980,1
16086,1
12863,1
2977,1
18615,1
14101,0
31258,1
25302,0
15517,0
21101,0
12069,0
25134,1
3410,1
3523,1
12026,1
12984,0
10546,0
10490,1
3333,1
8132,0
11587,0
29767,0
4445,1
23618,0
28774,0
23149,1
11692,0
27899,1
24996,0
31116,0
32104,0
27482,1
32132,0
1810,0
20423,1
6982,0
4627,0
13875,0
1350,1
11309,0
2964,0
1795,1
9493,0
8674,0
23374,1
15579,0
20161,1
28382,0
959,1
17191,1
26004,0
20468,1
1612,1
4334,0
15911,0
27129,0
4955,0
32039,0
18950,0
17689,0
8142,1
30062,0
22172,0
2462,1
7374,1
14776,1
21201,1
8418,0
13355,0
2484,1
31914,0
2334,1
28162,0
23578,0
527,0
9363,0
19826,0
25422,1
29926,0
10932,1
28520,0
31082,1
11725,0
8235,1
13890,1
16729,0
15825,1
6014,1
9757,1
14415,1
5669,0
21100,1
21636,1
10268,0
26206,1
32348,1
17344,1
12425,1
22785,1
14797,1
3488,0
19631,0
1819,1
15467,0
8998,0
30619,0
30801,0
10794,0
12710,1
17447,1
5409,0
28342,0
31449,0
20498,1
10652,0
14816,1
20572,0
20247,0
14933,1
25266,1
25688,0
9935,0
8097,0
16020,0
23874,1
782,1
29605,1
5435,1
11598,0
19721,0
30758,0
21786,0
18330,1
3180,1
15312,1
21837,0
18998,0
5792,1
28027,0
19855,0
24095,0
5844,0
11028,0
9462,1
16799,1
21799,0
8078,0
18632,0
808,1
24879,1
24484,0
13530,1
9783,0
22588,0
12343,1
17682,1
29872,0
26319,1
20065,1
628,1
10295,0
25924,1
27057,0
10405,1
3130,0
22922,1
16354,0
29758,0
19001,0
639,1
19514,0
7577,1
1486,0
28274,0
13803,0
15621,1
4770,0
22419,0
2115,0
13365,1
14782,1
857,1
31462,0
9333,0
13333,1
18875,0
1418,1
22066,1
8564,1
1267,0
24761,0
4759,0
27614,0
10773,1
1281,1
17342,0
16902,1
12347,0
11450,1
17613,1
21922,0
9673,1
31414,0
20046,1
3724,1
32363,1
23583,1
6177,1
3050,1
25466,1
18668,0
4566,1
17753,1
24438,1
25228,1
22320,0
15796,0
3817,1
2272,0
12928,0
8917,1
4496,0
693,0
4661,1
17702,1
22619,1
9124,1
28713,1
27824,1
29255,0
17953,0
31342,1
8295,0
25854,0
14601,0
23777,1
17558,0
7175,1
3664,1
16921,0
30741,0
5535,1
17124,0
22832,1
26157,1
14223,1
29157,0
8772,1
19910,1
22384,1
19242,0
28117,1
26067,1
25714,0
22185,1
1735,1
24568,0
12726,1
8539,1
8081,0
21369,0
1181,1
2764,0
15185,1
7163,0
7276,0
27645,1
20224,0
30173,1
15532,1
12336,0
16737,0
19271,1
24205,1
30814,1
20710,0
29681,0
30996,0
31956,1
22758,0
25645,1
11887,0
13278,1
16763,0
29766,1
5647,1
16200,1
31009,0
32164,0
581,1
7396,0
925,0
8692,1
32180,1
11041,1
29192,1
6392,0
7133,0
28632,1
18692,0
24219,0
27880,1
19007,0
1157,1
30959,1
17784,0
30949,1
27240,1
8776,1
10128,0
23387,1
12216,1
14541,1
13811,0
21353,0
30576,0
22418,1
6321,0
22652,1
32349,1
7929,1
12833,1
1082,0
8407,1
20961,0
25124,1
23851,0
23834,1
24639,1
8852,1
14791,1
21468,0
19344,1
28543,1
19617,0
8101,0
17334,0
4574,0
20230,0
21731,1
30109,0
21670,1
16776,1
173,0
23960,1
24887,1
16230,0
14768,1
22035,0
28960,1
29078,1
3711,0
4949,1
5937,0
19465,1
19199,1
27621,0
24345,0
12361,0
28116,0
28240,1
22581,1
32108,1
9150,0
21305,1
18563,1
23958,1
28652,1
7046,0
7184,0
24072,0
28231,0
27678,0
20187,0
3510,0
17208,0
19240,1
7515,1
20062,1
12944,1
21154,1
10808,1
3655,1
18826,1
19192,0
13980,1
19887,1
7517,0
5568,1
2738,1
5466,0
14696,1
26776,0
22883,0
12975,1
3578,1
29646,0
14113,1
17872,1
8741,0
2245,1
5678,0
24206,0
10565,0
12827,1
24369,1
6560,0
30778,1
10680,0
12152,0
20914,1
7245,0
13683,0
4625,1
25042,1
32405,1
28457,1
10376,1
12543,1
11573,1
14852,0
32150,1
24156,1
30533,0
4934,1
2838,0
2660,1
16512,1
24421,1
10288,1
8937,1
18848,0
27779,1
13224,1
14666,1
1462,1
11901,0
4005,1
13383,0
14219,0
29893,0
32353,0
1261,1
7525,0
17881,0
26622,1
21586,1
9963,1
23342,1
1865,0
31794,1
4969,1
16603,0
21465,1
10348,0
26398,1
5017,0
1319,1
31751,1
2406,1
31960,0
15645,1
16841,1
11579,1
8384,0
18864,1
17153,1
5603,0
1740,1
20795,1
13711,0
31469,1
8906,0
9632,0
23062,0
30675,0
1583,1
29819,1
12870,1
10712,0
30407,0
4442,0
27672,0
28741,0
21459,0
898,1
16938,1
20289,1
20563,1
22093,0
20239,1
25526,0
449,0
6795,1
22519,0
1868,0
5829,1
21971,1
17718,0
27656,0
11154,1
8897,0
2206,1
12551,1
12331,0
21985,0
27567,0
5516,1
32521,1
9808,0
13751,0
5810,0
17151,0
30640,1
13453,0
1164,1
32231,1
350,1
10861,0
3471,0
27483,0
15443,0
2066,1
20435,1
20632,1
20574,0
24591,1
6721,0
11608,0
15121,1
15335,1
17757,1
7243,0
1872,1
24882,0
24404,1
13330,1
30895,0
1625,1
5613,0
15866,0
8414,0
23700,1
16697,1
5966,1
25020,1
21901,0
12828,1
6955,1
17149,1
27006,1
895,0
11891,0
20412,0
21375,1
14623,1
7553,1
14897,0
5904,0
13187,0
4571,1
16046,1
23814,1
19516,1
4530,0
10416,0
31072,0
921,0
1801,0
8268,1
25800,1
2730,0
12267,0
8538,1
21225,1
15068,1
26712,1
28501,1
1946,0
22331,0
28905,1
7323,0
23534,1
25679,1
3365,1
5592,0
28853,0
17190,1
8279,0
1052,1
6667,1
3896,0
4868,0
26162,1
28633,1
11581,1
32516,0
23991,0
11892,1
8955,0
27233,0
7315,1
18859,1
30766,1
17997,1
3448,1
1453,1
8823,1
8529,0
1557,0
10722,1
10099,1
17356,0
26228,0
24707,1
2240,1
3613,0
8158,1
28707,0
18394,1
3453,0
31754,1
23817,0
26109,0
27175,1
14182,0
12316,1
29093,1
2696,0
2360,0
14161,0
3264,0
11074,1
31591,1
25072,1
7180,0
31372,0
24033,1
10719,0
20909,1
16337,0
12651,1
8121,0
12920,1
26119,0
2847,0
393,1
6811,0
3598,0
12767,0
28630,0
13546,1
17408,1
26356,0
9096,0
308,1
10628,0
9957,0
23833,0
6631,1
8477,1
7349,1
28017,0
5184,0
28238,1
8034,1
12940,0
30460,1
12294,0
12251,1
2551,0
18372,0
18562,0
1938,1
17658,1
16684,1
31271,1
17109,1
4653,0
24022,1
15640,0
1246,1
4356,0
15375,1
7274,0
10667,0
11526,0
8444,0
31955,1
18203,1
12938,0
20768,0
28981,0
9809,1
10672,0
16658,0
6322,1
5683,1
30089,1
5888,0
1875,1
22688,1
18241,1
9537,0
28830,1
9943,1
9149,0
21724,1
7909,1
7894,1
15914,1
11670,1
22644,0
13202,1
8294,0
11328,0
31566,1
21107,1
26906,1
4828,0
3588,0
18448,1
10759,0
25632,0
20031,0
27958,0
23253,0
23927,1
2092,0
25485,0
16736,1
2410,0
25445,1
8881,1
21341,1
2707,1
197,1
19756,1
31216,0
7960,0
30973,0
17566,1
1225,0
10075,0
30462,0
6425,0
19886,1
7474,1
8441,0
76,0
13185,0
2257,0
26346,1
15798,1
22437,1
30309,1
24722,0
9003,1
24971,0
11803,1
9860,0
10433,0
24849,1
22993,1
7345,1
13241,0
21566,0
27894,0
26541,1
16026,1
31209,1
27079,0
27532,0
870,1
15378,1
28811,1
10846,1
23689,0
28977,1
8254,1
24364,1
29888,1
26120,0
22825,1
30531,0
27092,0
12304,0
11995,1
4041,0
12700,1
25490,0
7108,1
22693,1
14031,1
29174,0
22321,1
6670,0
22569,0
2652,1
25180,1
31993,1
20462,1
18905,1
30834,0
32362,0
14724,0
7996,1
29670,0
5715,1
7425,0
26523,0
30342,1
14585,0
13509,1
15673,1
20048,1
18819,1
19559,1
31290,0
25017,0
30461,1
10601,0
20715,0
31942,0
28787,0
11349,1
31647,1
16679,1
15816,0
19648,0
17985,0
15079,1
19324,1
24435,1
27415,1
23653,0
7865,1
30025,0
19568,1
96,1
21695,1
8019,1
32026,1
25621,1
1337,1
13605,1
24386,1
157,0
10261,1
27974,0
6335,1
19345,1
29071,0
5223,0
20246,1
18274,0
521,1
27604,0
6464,0
12958,1
12822,0
17222,0
12365,0
233,0
23728,0
159,0
2713,1
15105,0
24719,1
27054,1
11036,1
18250,0
7787,1
24680,1
6908,0
15176,0
3490,0
4722,0
4338,1
28042,1
25608,1
24314,1
31681,1
24348,1
11186,1
23688,0
7863,0
7679,1
977,1
10418,0
29920,1
18419,0
13005,1
29534,1
14526,0
20201,1
30955,0
19055,0
32140,0
3217,1
26628,0
16493,0
3198,1
2655,0
12274,0
28985,1
16031,0
19253,0
29938,0
10813,0
2239,0
2825,0
30672,0
17022,1
20420,0
9157,0
17456,1
6195,1
7510,0
25210,0
30993,1
14594,1
5927,1
17734,1
20821,0
10855,1
16165,1
3116,0
19079,1
3754,1
17792,1
14734,1
20595,0
9433,0
29089,0
25767,1
26641,0
11324,1
1189,0
8446,1
26237,1
8653,0
31356,0
28102,0
16892,0
32366,1
4359,1
28915,1
2737,0
553,0
9039,1
28829,0
10544,0
15152,0
32276,0
8044,0
2946,0
13808,1
24723,1
13743,1
19311,0
30808,0
25937,1
13239,0
16372,0
23134,0
3249,1
32495,1
16569,0
17238,1
30879,1
23162,1
719,1
30074,0
18761,0
12976,1
22249,0
4254,0
30752,1
573,1
6366,0
4466,1
22650,1
6990,1
29336,1
20290,0
21489,0
11614,1
31343,1
22983,0
13247,1
29822,1
13477,0
30977,1
27317,1
18278,1
25899,1
26968,1
24661,1
7080,1
16074,0
970,1
12865,0
9383,1
27859,1
745,1
4890,0
25596,1
30787,0
26509,1
3786,1
20487,0
5307,1
