,income
18120,0
18005,1
20535,1
4585,0
32353,0
10927,0
25868,0
23673,0
31562,0
23533,0
4417,1
23126,1
8967,1
22821,1
27955,0
19597,0
4041,0
18012,0
1654,1
32082,0
31317,0
29041,0
18161,0
28127,0
16312,0
13631,1
26896,0
27974,0
13682,1
10514,0
22395,0
22482,0
3062,0
9201,0
23972,0
28426,0
13349,0
23244,1
11296,0
30652,0
29663,1
2247,0
10104,1
6359,1
1135,1
11527,0
29815,0
28838,0
21244,1
6493,0
4714,0
20484,1
10793,1
26711,0
9550,0
17446,1
22769,0
26771,0
10074,0
18455,1
9937,0
7005,0
28578,0
24450,1
12663,0
30694,0
24220,1
11998,0
7484,0
24649,0
32512,0
20014,0
31020,0
8253,0
6308,0
31463,0
14508,0
15532,0
27504,0
31735,0
9358,0
2458,0
31810,0
25254,0
13153,0
29334,0
21223,1
5219,0
30075,0
14497,0
9466,0
13438,0
25983,0
8863,0
28884,0
24972,0
29249,1
25372,1
11662,0
3472,0
10209,0
4680,1
24117,0
18418,1
9045,0
21842,0
2146,0
24766,0
29999,0
22711,0
13909,0
25516,0
20842,0
610,0
7948,0
5725,0
6520,0
17901,1
5353,0
643,1
1464,0
22606,0
15168,0
25045,0
17934,0
21608,0
31859,0
7860,0
25122,0
5335,0
16999,0
11302,0
22184,0
31468,1
24095,0
6547,1
16269,1
19520,0
5089,0
31072,0
32003,0
6272,0
22576,0
24238,0
7793,0
24561,0
23683,0
14503,0
24859,1
32470,0
28534,0
21952,0
25017,0
24262,0
360,0
22887,0
16104,0
2910,0
17559,0
2199,0
20449,0
6873,0
6407,0
29318,0
15236,0
17144,0
4139,0
10508,1
7946,0
24743,0
20789,0
18053,1
28012,0
20246,0
21742,1
31090,0
6758,1
1522,0
22851,0
21547,0
23758,0
2182,1
3496,0
22076,0
26463,0
26322,0
16858,0
14986,0
22526,1
14285,1
30908,0
14858,0
3375,0
26873,1
32182,0
23377,1
8844,0
15800,0
24173,0
17362,0
16420,0
14023,0
25069,1
26196,0
29066,0
13313,0
25817,1
12171,0
12313,0
26168,1
11780,1
30682,0
16620,0
32052,1
1760,1
22198,0
18722,0
22392,0
32171,0
29544,1
23432,0
3560,0
21430,1
12591,1
12368,0
22039,0
31226,1
24111,0
8898,0
21391,0
10011,0
22896,0
8066,0
13233,1
31563,0
30032,0
4038,0
4863,0
29236,1
17738,0
21674,0
19926,0
9621,0
4505,0
14165,0
12799,0
11944,0
22435,0
13375,0
5475,0
19282,1
7015,0
2799,0
2235,0
5718,0
19362,0
3168,1
8300,0
20825,0
31778,0
7704,0
13405,0
20995,0
29731,0
32513,1
9057,0
21527,1
16436,0
24233,0
8499,0
14641,0
22792,0
14803,0
5691,0
12972,0
6717,0
29058,0
18482,1
31345,0
10837,0
4024,1
24695,1
18797,1
10624,1
7020,0
25414,1
27557,0
25925,0
1748,0
28125,0
23535,1
20361,0
6687,0
21383,0
584,0
15326,0
6227,1
24629,0
5012,0
1928,0
22061,0
10839,0
2315,0
23278,1
31820,0
6172,0
7879,1
24772,0
18104,0
11145,0
19184,0
4013,0
21254,0
8889,0
18933,0
6468,1
7095,0
1020,0
12818,1
1533,1
483,0
8628,1
707,0
2712,0
4337,0
20612,0
13807,0
12232,1
12836,0
25949,0
29843,1
21662,0
12382,0
577,0
17023,0
9807,0
23100,0
6669,1
4915,0
13706,0
3947,0
25078,0
28486,0
4269,0
26769,1
23561,0
16545,0
7663,0
1624,0
30886,0
11715,0
10543,1
22950,0
3540,1
25108,1
9759,0
